billno,chamber,member,vote,points
HB273,House,Abruzzo,Y,3
HB273,House,Cummings,Y,3
HB273,House,Hardemon,Y,3
HB273,House,Moraitis,Y,3
HB273,House,Shaw,Y,3
HB273,House,Ahern,Y,3
HB273,House,Daniels,Y,3
HB273,House,Harrell,Y,3
HB273,House,Moskowitz,Y,3
HB273,House,Silvers,Y,3
HB273,House,Albritton,Y,3
HB273,House,Davis,-,0
HB273,House,Harrison,Y,3
HB273,House,Newton,Y,3
HB273,House,Slosberg,Y,3
HB273,House,Alexander,Y,3
HB273,House,Diamond,Y,3
HB273,House,Henry,Y,3
HB273,House,Nunez,Y,3
HB273,House,Smith,Y,3
HB273,House,Altman,-,0
HB273,House,Diaz,Y,3
HB273,House,Ingoglia,Y,3
HB273,House,Oliva,Y,3
HB273,House,Spano,Y,3
HB273,House,Antone,Y,3
HB273,House,Donalds,Y,3
HB273,House,Ingram,Y,3
HB273,House,Olszewski,Y,3
HB273,House,Sprowls,Y,3
HB273,House,Asencio,Y,3
HB273,House,Drake,Y,3
HB273,House,Jacobs,Y,3
HB273,House,Payne,Y,3
HB273,House,Stafford,Y,3
HB273,House,Ausley,Y,3
HB273,House,DuBose,Y,3
HB273,House,Jacquet,Y,3
HB273,House,Perez,Y,3
HB273,House,Stark,Y,3
HB273,House,Avila,-,0
HB273,House,Duran,Y,3
HB273,House,Jenne,Y,3
HB273,House,Peters,Y,3
HB273,House,Stevenson,Y,3
HB273,House,Berman,Y,3
HB273,House,Eagle,Y,3
HB273,House,Jones,Y,3
HB273,House,Pigman,Y,3
HB273,House,Stone,Y,3
HB273,House,Beshears,Y,3
HB273,House,Edwards-Walpole,Y,3
HB273,House,Killebrew,Y,3
HB273,House,Plakon,-,0
HB273,House,Sullivan,Y,3
HB273,House,Bileca,Y,3
HB273,House,Fant,Y,3
HB273,House,La Rosa,Y,3
HB273,House,Plasencia,Y,3
HB273,House,Toledo,-,0
HB273,House,Boyd,-,0
HB273,House,Fine,Y,3
HB273,House,Latvala,Y,3
HB273,House,Ponder,Y,3
HB273,House,Trujillo,Y,3
HB273,House,Brodeur,Y,3
HB273,House,Fischer,Y,3
HB273,House,Lee,Y,3
HB273,House,Porter,Y,3
HB273,House,Trumbull,Y,3
HB273,House,Brown,Y,3
HB273,House,Fitzenhagen,Y,3
HB273,House,Leek,Y,3
HB273,House,Pritchett,Y,3
HB273,House,Burgess,Y,3
HB273,House,Geller,Y,3
HB273,House,Magar,Y,3
HB273,House,Raburn,Y,3
HB273,House,Burton,Y,3
HB273,House,Gonzalez,Y,3
HB273,House,Mariano,Y,3
HB273,House,Raschein,Y,3
HB273,House,Byrd,Y,3
HB273,House,Good,-,0
HB273,House,Massullo,Y,3
HB273,House,Renner,Y,3
HB273,House,"Watson, B.",Y,3
HB273,House,Caldwell,Y,3
HB273,House,Goodson,Y,3
HB273,House,McClain,Y,3
