billno,description,position,url,house,senate
HB273,Prohibition on Dec Actions: Prohibits an agency from suing a requestor for making a public record request,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60058&SessionId=86,https://www.myfloridahouse.gov/Sections/Bills/floorvote.aspx?VoteId=17855&BillId=60058&SessionId=86&,
SB750,Prohibition on Dec Actions: Prohibits an agency from suing a requestor for making a public record request,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60458&SessionId=86,,
HB459,Agency Contracts: Stipulates that financial information in agency contracts is subject to disclosure,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60314&SessionId=86,https://www.myfloridahouse.gov/Sections/Bills/floorvote.aspx?VoteId=18005&BillId=60314&SessionId=86&,
SB956,Agency Contracts: Stipulates that financial information in agency contracts is subject to disclosure,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=61036&SessionId=86,,
HB589,Public Meetings: Strengthens public speaking requirements for public boards and commissions,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60580&SessionId=86,,
SB1092,Public Meetings: Strengthens public speaking requirements for public boards and commissions,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=61720&SessionId=86,,
SB1476,Prohibited Recordkeeeping: Repeals current law criminalizing creation of databases of gun owners,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=62301&SessionId=86,,
SB1480,"Centralized Database: Requires all municipalities to provide easy public access to charters, etc.",good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=62303&SessionId=86,,
SB1588,Budget Transparency: Increase transparency in the budgeting process,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=62386&SessionId=86,,
HB7057,Budget Transparency: Increase transparency in the budgeting process,good,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=62785&SessionId=86,https://www.myfloridahouse.gov/Sections/Bills/floorvote.aspx?VoteId=18038&BillId=62785&SessionId=86&,
HB439,Litigation Meetings: Expands current pending litigation exemption to allow discussion of imminent litigation behind closed doors,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60280&SessionId=86,,
SB560,Litigation Meetings: Expands current pending litigation exemption to allow discussion of imminent litigation behind closed doors,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60186&SessionId=86,,
HB761,Voter Records: Denies access to basic voter registration records,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=61165&SessionId=86,,
HB919,Sealing Bills: Allows for the automatic administrative sealing of certain criminal history records,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=61825&SessionId=86,,
SB860,Sealing Bills: Allows for the automatic administrative sealing of certain criminal history records,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60723&SessionId=86,,
SB690,Sealing Bills: Allows for the automatic administrative sealing of certain criminal history records,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60345&SessionId=86,,
SB1178,Killing of a Person: Exempts all audio and video that depicts events leading up to and following the killing of a person (amended on the House floor to protect only those audios and videos depicting the killing of victims of a mass shooting),bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=61901&SessionId=86,,
HB7103,"School Marshals: Exempts all information about school personnel allowed to carry guns onto school grounds",bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=62864&SessionId=86,,
SB1940,"School Marshals: Exempts all information about school personnel allowed to carry guns onto school grounds",bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=62866&SessionId=86,https://www.myfloridahouse.gov/Sections/Bills/floorvote.aspx?VoteId=18342&BillId=62866&SessionId=86&,https://www.myfloridahouse.gov/Sections/Bills/floorvote.aspx?VoteId=18266&BillId=62866&SessionId=86&
HB653,Killing of a Person: Exempts all audio and video that depicts events leading up to and following the killing of a person (amended on the House floor to protect only those audios and videos depicting the killing of victims of a mass shooting),bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60724&SessionId=86,,
SB268,Exemption from public records: Public guardians employees with fiduciary responsibility family members,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=59871&SessionId=86,,
SB1212,Exemption from public records: Child advocacy center personnel that meet certain requirements,bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=61963&SessionId=86,,
SB1628,"Workplace harrassment: Revises rules for lobbyists, requires ethics commission to report findings",bad,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=62431&SessionId=86,,
