billno,chamber,member,vote,points,good or bad bill?,Y or N,cmte vote,slug,cmte name,vote URL,main URL
SB1212,Senate,Book,Consulted with FAF,1,,,,,,,
SB1628,Senate,Book,Consulted with FAF,1,,,,,,,
HB273,House,Geller,Consulted with FAF,1,,,,,,,
HB459,House,Geller,Consulted with FAF,1,,,,,,,
SB1940,House,Geller,Consulted with FAF,1,,,,,,,
HB7057,House,Geller,Consulted with FAF,1,,,,,,,
SB268,Senate,Passidomo,Consulted with FAF,1,,,,,,,
HB761,House,Stevenson,Consulted with FAF,1,,,,,,,
HB273,House,Rodrigues,Sponsor,10,,,,,,,
SB750,Senate,Perry,Sponsor,10,,,,,,,
HB273,House,Boyd,Late Yes,3,,,,,,,
HB273,House,Davis,Late Yes,3,,,,,,,
HB273,House,Hager,Late Yes,3,,,,,,,
HB439,House,Donalds,Sponsor,-10,,,,,,,
HB459,House,Hager,Late Yes,3,,,,,,,
HB459,House,Metz,Late Yes,3,,,,,,,
HB459,House,Massullo,Sponsor,10,,,,,,,
HB459,House,Slosberg,Cosponsor,7,,,,,,,
HB459,House,Smith,Cosponsor,7,,,,,,,
HB589,House,Newton,Sponsor,10,,,,,,,
HB7057,House,Jacquet,Late Yes,3,,,,,,,
HB761,House,Stevenson,Sponsor,-10,,,,,,,
HB919,House,Brown,Sponsor,-10,,,,,,,
SB1092,Senate,Rader,Sponsor,10,,,,,,,
SB1178,Senate,Bracy,Sponsor,-10,,,,,,,
SB1476,Senate,Farmer,Sponsor,10,,,,,,,
SB1480,Senate,Brandes,Sponsor,10,,,,,,,
SB1588,Senate,Brandes,Sponsor,10,,,,,,,
SB1940,Senate,Galvano,Sponsor,-10,,,,,,,
SB1940,Senate,Benacquisto,Cosponsor,-7,,,,,,,
SB560,Senate,Steube,Sponsor,-10,,,,,,,
SB690,Senate,Brandes,Sponsor,-10,,,,,,,
SB860,Senate,Bracy,Sponsor,-10,,,,,,,
SB956,Senate,Mayfield,Sponsor,10,,,,,,,
HB653,House,Brown,Sponsor,-10,,,,,,,
HB653,House,Jacobs,Cosponsor,-7,,,,,,,
HB653,House,Pritchett,Cosponsor,-7,,,,,,,
HB653,House,Willhite,Cosponsor,-7,,,,,,,
HB653,House,Antone,Late Yes,-3,,,,,,,
HB653,House,Brodeur,Late Yes,-3,,,,,,,
HB653,House,"Grant, J.",Late Yes,-3,,,,,,,
HB653,House,Moskowitz,Late Yes,-3,,,,,,,
HB653,House,Peters,Late Yes,-3,,,,,,,
HB653,House,Pigman,Late Yes,-3,,,,,,,
HB273,House,Daniels,Committee Yes,3,good,Y,cmte vote,HB273HOV,"Oversight, Transparency & Administration Subcommittee",http://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=44833&IsPCB=0&BillId=60058&SessionId=86,http://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60058&SessionId=86
HB273,House,Davis,Committee Yes,3,good,Y,cmte vote,HB273HOV,"Oversight, Transparency & Administration Subcommittee",http://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=44833&IsPCB=0&BillId=60058&SessionId=86,http://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60058&SessionId=86
HB273,House,Drake,Committee Yes,3,good,Y,cmte vote,HB273HOV,"Oversight, Transparency & Administration Subcommittee",http://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=44833&IsPCB=0&BillId=60058&SessionId=86,http://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60058&SessionId=86
HB273,House,Henry,Committee Yes,3,good,Y,cmte vote,HB273HOV,"Oversight, Transparency & Administration Subcommittee",http://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=44833&IsPCB=0&BillId=60058&SessionId=86,http://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60058&SessionId=86
HB273,House,Ingoglia,Committee Yes,3,good,Y,cmte vote,HB273HOV,"Oversight, Transparency & Administration Subcommittee",http://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=44833&IsPCB=0&BillId=60058&SessionId=86,http://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60058&SessionId=86
HB273,House,Pigman,Committee Yes,3,good,Y,cmte vote,HB273HOV,"Oversight, Transparency & Administration Subcommittee",http://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=44833&IsPCB=0&BillId=60058&SessionId=86,http://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60058&SessionId=86
HB273,House,Rommel,Committee Yes,3,good,Y,cmte vote,HB273HOV,"Oversight, Transparency & Administration Subcommittee",http://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=44833&IsPCB=0&BillId=60058&SessionId=86,http://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=60058&SessionId=86
