STATEFP,SLDLST,GEOID,NAMELSAD,LSAD,LSY,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"12","001","12001",State House District 1,LL,"2016",G5220,N,"1435755444","38142415","+30.7542751","-087.3941640"
"12","002","12002",State House District 2,LL,"2016",G5220,N,"287053433","587660550","+30.3482283","-087.2664896"
"12","003","12003",State House District 3,LL,"2016",G5220,N,"3689843163","369643559","+30.7472027","-086.9225378"
"12","004","12004",State House District 4,LL,"2016",G5220,N,"1319479787","380534525","+30.5486194","-086.5797354"
"12","005","12005",State House District 5,LL,"2016",G5220,N,"8589981595","741688639","+30.6841413","-085.7291970"
"12","006","12006",State House District 6,LL,"2016",G5220,N,"1193184750","695784549","+30.1695080","-085.6323065"
"12","007","12007",State House District 7,LL,"2016",G5220,N,"15982854324","2805346642","+30.1239435","-084.2831912"
"12","008","12008",State House District 8,LL,"2016",G5220,N,"1541268296","36548312","+30.5573194","-084.5742994"
"12","009","12009",State House District 9,LL,"2016",G5220,N,"1051607339","73762313","+30.5106937","-084.1864572"
"12","010","12010",State House District 10,LL,"2016",G5220,N,"6836331279","44056700","+30.2926984","-082.7108548"
"12","011","12011",State House District 11,LL,"2016",G5220,N,"1971829251","458166719","+30.6713914","-082.0367691"
"12","012","12012",State House District 12,LL,"2016",G5220,N,"158580875","10526184","+30.3154190","-081.5168265"
"12","013","12013",State House District 13,LL,"2016",G5220,N,"122433551","25841379","+30.3433059","-081.6245317"
"12","014","12014",State House District 14,LL,"2016",G5220,N,"582319796","17388970","+30.4322690","-081.7383606"
"12","015","12015",State House District 15,LL,"2016",G5220,N,"505322851","34032370","+30.2524914","-081.8655915"
"12","016","12016",State House District 16,LL,"2016",G5220,N,"315245181","57239073","+30.1931536","-081.5542443"
"12","017","12017",State House District 17,LL,"2016",G5220,N,"924190856","434597198","+30.0234574","-081.4358695"
"12","018","12018",State House District 18,LL,"2016",G5220,N,"519265142","31518212","+30.1190134","-081.8657019"
"12","019","12019",State House District 19,LL,"2016",G5220,N,"4324510656","358324346","+29.7938880","-081.9258338"
"12","020","12020",State House District 20,LL,"2016",G5220,N,"2043774793","235652774","+29.5525228","-082.2893953"
"12","021","12021",State House District 21,LL,"2016",G5220,N,"3444626528","436611483","+29.6407363","-082.9691010"
"12","022","12022",State House District 22,LL,"2016",G5220,N,"4020735239","773136159","+29.2489300","-082.6670868"
"12","023","12023",State House District 23,LL,"2016",G5220,N,"2240384305","161584561","+29.2277568","-081.8896543"
"12","024","12024",State House District 24,LL,"2016",G5220,N,"2609587189","629505313","+29.4576319","-081.3518251"
"12","025","12025",State House District 25,LL,"2016",G5220,N,"357244604","260398024","+29.1401024","-080.9886701"
"12","026","12026",State House District 26,LL,"2016",G5220,N,"695971340","17200432","+29.1187993","-081.1821897"
"12","027","12027",State House District 27,LL,"2016",G5220,N,"1078249713","309255054","+28.8820046","-081.0294553"
