alphaname,name,first,last,slug,title,chamber,personurl,photourl,district,party,city,counties
"Abruzzo, Joseph",Joseph Abruzzo,Joseph,Abruzzo,rep-joseph-abruzzo-81,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4458&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4458.jpg,81,D,Boynton Beach,Palm Beach
"Ahern, Larry",Larry Ahern,Larry,Ahern,rep-larry-ahern-66,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4505&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4505.jpg,66,R,Seminole,Pinellas
"Albritton, Ben",Ben Albritton,Ben,Albritton,rep-ben-albritton-56,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4508&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4508.jpg,56,R,Wauchula,DeSoto|Hardee|Polk
"Alexander, Ramon",Ramon Alexander,Ramon,Alexander,rep-ramon-alexander-8,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4640&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4640.jpg,8,D,Tallahassee,Gadsden|Leon
"Altman, Thad",Thad Altman,Thad,Altman,rep-thad-altman-52,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4329&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4329.jpg,52,R,Indialantic,Brevard
"Antone, Bruce",Bruce Antone,Bruce,Antone,rep-bruce-antone-46,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4269&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4269.jpg,46,D,Orlando,Orange
"Artiles, Frank",Frank Artiles,Frank,Artiles,sen-frank-artiles-40,Sen.,Senate,http://www.flsenate.gov/Senators/s40,http://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/s40_5197.jpg,40,R,Miami,Miami-Dade
"Asencio, Robert",Robert Asencio,Robert,Asencio,rep-robert-asencio-118,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4656&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4656.jpg,118,D,Miami,Miami-Dade
"Ausley, Loranne",Loranne Ausley,Loranne,Ausley,rep-loranne-ausley-9,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4190&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4190.jpg,9,D,Tallahassee,Leon
"Avila, Bryan",Bryan Avila,Bryan,Avila,rep-bryan-avila-111,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4615&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4615.jpg,111,R,Hialeah,Miami-Dade
"Baez, Daisy J.",Daisy J. Baez,Daisy,Baez,rep-daisy-baez-114,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4654&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4654.jpg,114,D,Coral Gables,Miami-Dade
"Baxley, Dennis",Dennis Baxley,Dennis,Baxley,sen-dennis-baxley-12,Sen.,Senate,http://www.flsenate.gov/Senators/s12,http://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/s12_5192.jpg,12,R,Lady Lake,Sumter|Lake|Marion
"Bean, Aaron",Aaron Bean,Aaron,Bean,sen-aaron-bean-4,Sen.,Senate,http://www.flsenate.gov/Senators/s4,http://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/s04_5094.jpg,4,R,Jacksonville,Nassau|Duval
"Benacquisto, Lizbeth",Lizbeth Benacquisto,Lizbeth,Benacquisto,sen-lizbeth-benacquisto-27,Sen.,Senate,http://www.flsenate.gov/Senators/s27,http://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/s27_5047.jpg,27,R,Fort Myers,Lee
"Berman, Lori",Lori Berman,Lori,Berman,rep-lori-berman-90,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4517&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4517.jpg,90,D,Lantana,Palm Beach
"Beshears, Halsey",Halsey Beshears,Halsey,Beshears,rep-halsey-beshears-7,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4539&LegislativeTermId=87,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4539.jpg,7,R,Monticello,Calhoun|Franklin|Gulf|Jefferson|Lafayette|Liberty|Madison|Taylor|Wakulla|Leon
