alphaname,name,first,last,slug,title,chamber,personurl,photourl,district,party,city,counties
"Albritton, Ben",Ben Albritton,Ben,Albritton,sen-ben-albritton-26,Sen.,Senate,http://www.flsenate.gov/Senators/s26,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s26_5342.jpg,26,R,Bartow,Charlotte|DeSoto|Glades|Hardee|Highlands|Lee|Okeechobee|Polk
"Alexander, Ramon",Ramon Alexander,Ramon,Alexander,rep-ramon-alexander-8,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4640&LegislativeTermId=88,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4640.jpg,8,D,Tallahassee,Gadsden|Leon
"Aloupis, Jr., Vance Arthur",Vance Arthur Aloupis Jr.,Vance,Aloupis,rep-vance-aloupis-115,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4713&LegislativeTermId=88,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4713.jpg,115,R,Miami,Miami-Dade
"Altman, Thad",Thad Altman,Thad,Altman,rep-thad-altman-52,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4329&LegislativeTermId=88,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4329.jpg,52,R,Indialantic,Brevard
"Andrade, Robert Alexander",Robert Alexander Andrade,Robert,Andrade,rep-robert-andrade-2,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4710&LegislativeTermId=88,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4710.jpg,2,R,Pensacola,Escambia|Santa Rosa
"Antone, Bruce",Bruce Antone,Bruce,Antone,rep-bruce-antone-46,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4269&LegislativeTermId=88,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4269.jpg,46,D,Orlando,Orange
"Ausley, Loranne",Loranne Ausley,Loranne,Ausley,rep-loranne-ausley-9,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4190&LegislativeTermId=88,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4190.jpg,9,D,Tallahassee,Leon
"Avila, Bryan",Bryan Avila,Bryan,Avila,rep-bryan-avila-111,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4615&LegislativeTermId=88,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4615.jpg,111,R,Miami Springs,Miami-Dade
"Baxley, Dennis",Dennis Baxley,Dennis,Baxley,sen-dennis-baxley-12,Sen.,Senate,http://www.flsenate.gov/Senators/s12,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s12_5192.jpg,12,R,Lady Lake,Lake|Marion|Sumter
"Bean, Aaron",Aaron Bean,Aaron,Bean,sen-aaron-bean-4,Sen.,Senate,http://www.flsenate.gov/Senators/s4,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s04_5094.jpg,4,R,Jacksonville,Duval|Nassau
"Bell, Melony M.",Melony M. Bell,Melony,Bell,rep-melony-bell-56,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4753&LegislativeTermId=88,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4753.jpg,56,R,Fort Meade,DeSoto|Hardee|Polk
"Beltran, Mike",Mike Beltran,Mike,Beltran,rep-mike-beltran-57,Rep.,House,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4747&LegislativeTermId=88,http://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4747.jpg,57,R,Lithia,Hillsborough
"Benacquisto, Lizbeth",Lizbeth Benacquisto,Lizbeth,Benacquisto,sen-lizbeth-benacquisto-27,Sen.,Senate,http://www.flsenate.gov/Senators/s27,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s27_5047.jpg,27,R,Fort Myers,Lee
"Berman, Lori",Lori Berman,Lori,Berman,sen-lori-berman-31,Sen.,Senate,http://www.flsenate.gov/Senators/s31,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s31_5339.jpg,31,D,Boynton Beach,Palm Beach
"Book, Lauren",Lauren Book,Lauren,Book,sen-lauren-book-32,Sen.,Senate,http://www.flsenate.gov/Senators/s32,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s32_5189.jpg,32,D,Plantation,Broward
"Bracy, Randolph",Randolph Bracy,Randolph,Bracy,sen-randolph-bracy-11,Sen.,Senate,http://www.flsenate.gov/Senators/s11,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s11_5193.jpg,11,D,Orlando,Orange
"Bradley, Rob",Rob Bradley,Rob,Bradley,sen-rob-bradley-5,Sen.,Senate,http://www.flsenate.gov/Senators/s5,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s05_5101.jpg,5,R,Orange Park,Baker|Bradford|Clay|Columbia|Dixie|Gilchrist|Lafayette|Levy|Marion|Suwannee|Union
"Brandes, Jeff",Jeff Brandes,Jeff,Brandes,sen-jeff-brandes-24,Sen.,Senate,http://www.flsenate.gov/Senators/s24,http://www.flsenate.gov/PublishedContent/Senators/2018-2020/Photos/s24_5095.jpg,24,R,St. Petersburg,Pinellas
