legid,alphaname,chamber,party,numericscore,potentialscore,bracket,lettergrade,counties,committesdict
House|Clemons,"Clemons, Charles Wesley, Sr.",House,R,3,15,10,B-,Dixie|Gilchrist|Alachua,{}
Senate|Perry,"Perry, Keith",Senate,R,1,9,9,C+,Alachua|Putnam|Marion,{'SRU': 'Rules'}
House|Porter,"Porter, Elizabeth W.",House,R,3,15,10,B-,Baker|Columbia|Hamilton|Suwannee|Alachua,{}
"House|Watson, C.","Watson, Clovis, Jr.",House,D,9,27,11,B,Alachua|Marion,{'HGO': 'Government Accountability Committee'}
Senate|Bradley,"Bradley, Rob",Senate,R,-3,27,7,C-,Baker|Bradford|Clay|Columbia|Dixie|Gilchrist|Lafayette|Levy|Suwannee|Union|Marion,"{'SJU': 'Judiciary', 'SRU': 'Rules', 'SCR': 'Criminal Justice Committee'}"
House|Drake,"Drake, Brad",House,R,6,42,9,C+,Holmes|Jackson|Walton|Washington|Bay,"{'HOV': 'Oversight, Transparency & Administration Subcommittee', 'HGO': 'Government Accountability Committee'}"
Senate|Gainer,"Gainer, George B.",Senate,R,-3,3,1,F-,Bay|Holmes|Jackson|Walton|Washington|Okaloosa,{}
House|Trumbull,"Trumbull, Jay",House,R,3,15,10,B-,Bay,{}
House|Payne,"Payne, Bobby",House,R,3,15,10,B-,Bradford|Putnam|Union|Clay,{}
House|Altman,"Altman, Thad",House,R,-6,18,6,D+,Brevard,{'HCR': 'Criminal Justice Subcommittee'}
House|Fine,"Fine, Randy",House,R,3,15,10,B-,Brevard,{}
House|Goodson,"Goodson, Tom",House,R,3,15,10,B-,Brevard,{}
Senate|Hukill,"Hukill, Dorothy L.",Senate,R,-3,3,1,F-,Brevard|Volusia,{}
Senate|Mayfield,"Mayfield, Debbie",Senate,R,7,15,12,B+,Indian River|Brevard,"{'SGO': 'Governmental Oversight and Accountability Committee', 'SJU': 'Judiciary'}"
House|Plasencia,"Plasencia, Rene ""Coach P""",House,R,6,15,11,B,Brevard|Orange,{}
Senate|Book,"Book, Lauren",Senate,D,-4,9,5,D,Broward,{'SRU': 'Rules'}
Senate|Braynon,"Braynon, Oscar II",Senate,D,-9,9,1,F-,Broward|Miami-Dade,{'SRU': 'Rules'}
House|Diaz,"Diaz, Manny, Jr.",House,R,3,21,9,C+,Broward|Miami-Dade,{'HAP': 'Appropriations Committee'}
