alphaname,chamber,party,numericscore,potentialscore,bracket,lettergrade,counties
"Brannan III, Robert Charles",House,R,-9,21,4,D+,Alachua|Baker|Columbia|Hamilton|Suwannee
"Clemons, Sr., Charles Wesley",House,R,-3,30,6,C,Alachua|Dixie|Gilchrist
"Perry, Keith",Senate,R,-9,12,2,D-,Alachua|Marion|Putnam
"Watson, Jr., Clovis",House,D,3,27,8,B-,Alachua|Marion
"Bradley, Rob",Senate,R,-10,15,3,D,Baker|Bradford|Clay|Columbia|Dixie|Gilchrist|Lafayette|Levy|Marion|Suwannee|Union
"Drake, Brad",House,R,-6,30,6,C,Bay|Holmes|Jackson|Walton|Washington
"Gainer, George B.",Senate,R,-6,6,1,F,Bay|Holmes|Jackson|Okaloosa|Walton|Washington
"Trumbull, Jay",House,R,-12,30,4,D+,Bay
"Payne, Bobby",House,R,0,30,7,C+,Bradford|Clay|Putnam|Union
"Altman, Thad",House,R,-9,21,4,D+,Brevard
"Fine, Randy",House,R,-9,21,4,D+,Brevard
"Mayfield, Debbie",Senate,R,-6,6,1,F,Brevard|Indian River
"Plasencia, Rene ""Coach P""",House,R,0,33,7,C+,Brevard|Orange
"Sirois, Tyler I.",House,R,-16,21,2,D-,Brevard
"Wright, Tom A.",Senate,R,-3,9,5,C-,Brevard|Volusia
"Book, Lauren",Senate,D,-22,15,1,F,Broward
"Braynon, Oscar II",Senate,D,-15,15,1,F,Broward|Miami-Dade
"DuBose, Bobby B.",House,D,-12,42,5,C-,Broward
"Farmer, Gary M., Jr.",Senate,D,-10,15,3,D,Broward
"Geller, Joseph",House,D,-12,24,4,D+,Broward|Miami-Dade
"Gottlieb, Michael",House,D,-12,24,4,D+,Broward
"Jacobs, Kristin Diane",House,D,-13,21,3,D,Broward
"Jenne, Evan",House,D,7,21,9,B,Broward
"Jones, Shevrin D.",House,D,-3,18,6,C,Broward
"LaMarca, Chip",House,R,-9,33,5,C-,Broward
"Omphroy, Anika Tene",House,D,3,18,8,B-,Broward
"Polo, Cindy",House,D,7,15,10,B+,Broward|Miami-Dade
"Pritchett, Sharon",House,D,-3,15,6,C,Broward|Miami-Dade
"Rader, Kevin J.",Senate,D,-2,18,6,C,Broward|Palm Beach
"Rodriguez, Ana Maria",House,R,0,18,7,C+,Broward|Collier|Miami-Dade
"Stark, Richard",House,D,-3,21,6,C,Broward
"Thurston, Perry E., Jr.",Senate,D,-18,18,1,F,Broward
"Williams, Patricia H.",House,D,-6,18,5,C-,Broward
"Montford, Bill",Senate,D,-25,15,1,F,Calhoun|Franklin|Gadsden|Gulf|Hamilton|Jefferson|Leon|Liberty|Madison|Taylor|Wakulla
